texture_stem,slot_name,tri_strcode,texture_strcode
00765dfa-sna_def_olive~0063d2755986c53e88ca8238dcc91517,camoufla-dc_rainbow,413aa8,765dfa
00765dfa-sna_def_olive~0063d2755986c53e88ca8238dcc91517,camoufla-dc_rainbow_vr,413aa8,765dfa
00765dfa-sna_def_olive~11b6c529be02c7be258feb2b9c0d765b,camoufla-dc_santa,413aa8,765dfa
00765dfa-sna_def_olive~11b6c529be02c7be258feb2b9c0d765b,camoufla-dc_santa_vr,413aa8,765dfa
00765dfa-sna_def_olive~226720d60bf32248d4b2ff4d91332ff5,camoufla-dc_klmk,413aa8,765dfa
00765dfa-sna_def_olive~226720d60bf32248d4b2ff4d91332ff5,camoufla-dc_klmk_vr,413aa8,765dfa
00765dfa-sna_def_olive~25834abebf04d0988daad5bf2794029f,camoufla-dc_dododo,413aa8,765dfa
00765dfa-sna_def_olive~25834abebf04d0988daad5bf2794029f,camoufla-dc_dododo_vr,413aa8,765dfa
00765dfa-sna_def_olive~3899b0451a9bf3a066c06607da896be5,camoufla-dc_ndsrt,413aa8,765dfa
00765dfa-sna_def_olive~3899b0451a9bf3a066c06607da896be5,camoufla-dc_ndsrt_vr,413aa8,765dfa
00765dfa-sna_def_olive~595bccc37f7fd4e109580710c4e05ace,camoufla-dc_rock,413aa8,765dfa
00765dfa-sna_def_olive~595bccc37f7fd4e109580710c4e05ace,camoufla-dc_rock_vr,413aa8,765dfa
00765dfa-sna_def_olive~5b3d1598f27e95be7e3c4707df16c674,camoufla-dc_chamel,413aa8,765dfa
00765dfa-sna_def_olive~5b3d1598f27e95be7e3c4707df16c674,camoufla-dc_chamel_vr,413aa8,765dfa
00765dfa-sna_def_olive~86d6763dde8ecfc17f0757fd8e4ef306,camoufla-dc_barrac,413aa8,765dfa
00765dfa-sna_def_olive~86d6763dde8ecfc17f0757fd8e4ef306,camoufla-dc_barrac_vr,413aa8,765dfa
00765dfa-sna_def_olive~9d26662c63d25efb0d45047f2138adde,camoufla-dc_swood,413aa8,765dfa
