texture_stem,slot_name,tri_strcode,texture_strcode
0000021b,offline_camouf_e-bonsai,b6dcd9,00021b
00031504,offline_camouf_f-usmx,b6dcd9,031504
0003a514,offline_camouf_f-wsnake,b6dcd9,03a514
00089f76,offline_camouf_g-dododo,b6dcd9,089f76
00155d88,radio-normal,2bba69,155d88
00186029,offline_camouf_g-valen,b6dcd9,186029
00215d88,radio-normal,21f669,215d88
00215d88,radio-normal,21f669,a85d85
00215d88,radio-normal,52f669,e45d91
00266501,offline_camouf_i-swamp,b6dcd9,266501
0026d01e,radio-normal,2bba69,26d01e
002a44f7,offline_camouf_i-rock,b6dcd9,2a44f7
0032c4c8,offline_camouf_f-ndsrt,b6dcd9,32c4c8
0035ce0b,offline_camouf_i-rainbow,b6dcd9,35ce0b
0036bd68,offline_camouf_i-chamel,b6dcd9,36bd68
003807d3,offline_camouf_i-mummy,b6dcd9,3807d3
003886e9,radio-normal,21f669,3886e9
003987a9,radio-normal,21f669,3987a9
003a0253,offline_camouf_s-bonsai,b6dcd9,3a0253
003f1510,offline_camouf_i-usmx,b6dcd9,3f1510
003fa520,offline_camouf_i-wsnake,b6dcd9,3fa520
004244b2,offline_camouf_f-klmk,b6dcd9,4244b2
00447c28,offline_camouf_f-barrac,b6dcd9,447c28
0047048a,offline_camouf_f-flower,b6dcd9,47048a
00488d27,offline_camouf_f-santa,b6dcd9,488d27
005764f7,offline_camouf_g-swamp,b6dcd9,5764f7
005b44ed,offline_camouf_g-rock,b6dcd9,5b44ed
005feda9,offline_camouf_f-anubis,b6dcd9,5feda9
0063051d,radio-normal,21f669,63051d
0063051d,radio-normal,2bba69,63051d
0063051d,radio-normal,52f669,63051d
0066ce01,offline_camouf_g-rainbow,b6dcd9,66ce01
0067bd5e,offline_camouf_g-chamel,b6dcd9,67bd5e
006907c9,offline_camouf_g-mummy,b6dcd9,6907c9
006b1eae,radio-normal,21f669,6b1eae
006b1eae,radio-normal,2bba69,6b1eae
006b1eae,radio-normal,52f669,6b1eae
006ec4d4,offline_camouf_i-ndsrt,b6dcd9,6ec4d4
00701506,offline_camouf_g-usmx,b6dcd9,701506
0070a516,offline_camouf_g-wsnake,b6dcd9,70a516
0075e05b,radio-normal,52f669,f5e033
0078c9fe,offline_camouf_f-grenade,b6dcd9,78c9fe
007e021f,offline_camouf_f-bonsai,b6dcd9,7e021f
007e44be,offline_camouf_i-klmk,b6dcd9,7e44be
007ebdd7,offline_camouf_f-swood,b6dcd9,7ebdd7
00807c34,offline_camouf_i-barrac,b6dcd9,807c34
00830496,offline_camouf_i-flower,b6dcd9,830496
00848d33,offline_camouf_i-santa,b6dcd9,848d33
008514ff,offline_camouf_e-usmx,b6dcd9,8514ff
008696f4,offline_camouf_f-btiger,b6dcd9,8696f4
0088df28,offline_camouf_f-eastg,b6dcd9,88df28
0088f148,offline_camouf_f-westg,b6dcd9,88f148
008ed488,offline_camouf_f-fest,b6dcd9,8ed488
009b9f73,offline_camouf_f-dododo,b6dcd9,9b9f73
009be091,radio-normal,21f669,9be091
009be091,radio-normal,2bba69,9be091
009be091,radio-normal,52f669,9be091
009bedb5,offline_camouf_i-anubis,b6dcd9,9bedb5
009fc4ca,offline_camouf_g-ndsrt,b6dcd9,9fc4ca
00ab6026,offline_camouf_f-valen,b6dcd9,ab6026
00af44b4,offline_camouf_g-klmk,b6dcd9,af44b4
00b17c2a,offline_camouf_g-barrac,b6dcd9,b17c2a
00b4048c,offline_camouf_g-flower,b6dcd9,b4048c
00b4ca0a,offline_camouf_i-grenade,b6dcd9,b4ca0a
00b58d29,offline_camouf_g-santa,b6dcd9,b58d29
00b9d01b,radio-normal,21f669,b9d01b
00b9e027,radio-normal,21f669,b9e027
00b9e02b,radio-normal,2bba69,b9e02b
00ba022b,offline_camouf_i-bonsai,b6dcd9,ba022b
00babde3,offline_camouf_i-swood,b6dcd9,babde3
00bf1537,offline_camouf_s-usmx,b6dcd9,bf1537
00c29700,offline_camouf_i-btiger,b6dcd9,c29700
00c4df34,offline_camouf_i-eastg,b6dcd9,c4df34
00c4f154,offline_camouf_i-westg,b6dcd9,c4f154
00cad494,offline_camouf_i-fest,b6dcd9,cad494
00ccedab,offline_camouf_g-anubis,b6dcd9,ccedab
00d79f7f,offline_camouf_i-dododo,b6dcd9,d79f7f
00d8a8b0,radio-normal,21f669,d8a8b0
00d8a8b0,radio-normal,2bba69,d8a8b0
00d8a8b0,radio-normal,52f669,d8a8b0
00dea8b0,radio-normal,21f669,dea8b0
00dea8b0,radio-normal,2bba69,dea8b0
00dea8b0,radio-normal,52f669,dea8b0
00e5ca00,offline_camouf_g-grenade,b6dcd9,e5ca00
00e76032,offline_camouf_i-valen,b6dcd9,e76032
00ea64f4,offline_camouf_f-swamp,b6dcd9,ea64f4
00eb0221,offline_camouf_g-bonsai,b6dcd9,eb0221
00ebbdd9,offline_camouf_g-swood,b6dcd9,ebbdd9
00ee44ea,offline_camouf_f-rock,b6dcd9,ee44ea
00f396f6,offline_camouf_g-btiger,b6dcd9,f396f6
00f5d027,radio-normal,52f669,f5d027
00f5df2a,offline_camouf_g-eastg,b6dcd9,f5df2a
00f5f14a,offline_camouf_g-westg,b6dcd9,f5f14a
00f9cdfe,offline_camouf_f-rainbow,b6dcd9,f9cdfe
00fabd5b,offline_camouf_f-chamel,b6dcd9,fabd5b
00fac680,radio-normal,21f669,fac680
00fac680,radio-normal,2bba69,fac680
00fac680,radio-normal,52f669,fac680
00fbd48a,offline_camouf_g-fest,b6dcd9,fbd48a
00fc07c6,offline_camouf_f-mummy,b6dcd9,fc07c6
00fc7aa4,radio-normal,21f669,fc7aa4
00fc7aa4,radio-normal,2bba69,fc7aa4
00fc7aa4,radio-normal,52f669,fc7aa4
