texture_stem,slot_name,tri_strcode,texture_strcode
0000021b,offline_camouf_e-bonsai,b6dcd9,00021b
0000368b,charaview-normal,235ed5,00368b
00005e41,charaview-normal,985b19,005e41
0000719c,charaview-normal,1d00a9,00719c
00007c5c,offline_camouf_s-barrac,b6dcd9,007c5c
0000bdd3,offline_camouf_e-swood,b6dcd9,00bdd3
00014fef,charaview-normal,6c892b,014fef
0002f937,radio_photo-rd_eqi_akknfe,02f937,02f937
000304be,offline_camouf_s-flower,b6dcd9,0304be
00030da5,charaview-normal,2360b8,030da5
00031504,offline_camouf_f-usmx,b6dcd9,031504
0003247e,memcard-normal,fdea15,03247e
0003247e,memcard-saru,0aaec4,03247e
0003247e,memcard_mg-normal,fdea15,03247e
0003436f,charaview-normal,2360b8,03436f
00035be9,charaview-normal,238057,035be9
0003966e,charaview-normal,2360b8,03966e
0003a514,offline_camouf_f-wsnake,b6dcd9,03a514
00040da5,charaview-normal,2360b8,040da5
00048d5b,offline_camouf_s-santa,b6dcd9,048d5b
0004e32e,charaview-normal,2360b8,04e32e
00050da5,charaview-normal,2360b8,050da5
00051138,radio_photo-rd_eqi_book,051138,051138
00051911,radio_photo-rd_eqi_xm16e1,051911,051911
00054383,charaview-normal,2360b8,054383
00057eda,picture_processing-pic_pro_014,ae2995,057eda
0005cada,flash_back-pic4,cd1d72,05cada
00065d4c,radio_photo-rd_mec_dshk,065d4c,065d4c
00071198,radio_photo-rd_eqi_fork,071198,071198
000731a5,charaview-normal,6c892b,0731a5
000731a5,charaview-normal,6c892b,109414
000731a5,charaview-normal,6c892b,3d135f
000731a5,charaview-normal,6c892b,524bb8
000731a5,charaview-normal,6c892b,5dd0e6
000731a5,charaview-normal,6c892b,99cfe6
000731a5,charaview-normal,6c892b,a247ad
000731a5,charaview-normal,6c892b,fbd460
00075c08,charaview-normal,238057,075c08
00082a90,radio_photo-rd_mec_d21,082a90,082a90
00082b11,radio_photo-rd_mec_btr,082b11,082b11
00084e98,radio_photo-rd_mec_m29,084e98,084e98
00084f11,radio_photo-rd_mec_m62,084f11,084f11
000855ab,radio_photo-rd_mec_hd,f84204,f84204
000855ab,radio_photo-rd_mec_mil,0855ab,0855ab
000896f0,offline_camouf_e-btiger,b6dcd9,0896f0
00089f76,offline_camouf_g-dododo,b6dcd9,089f76
0008c0c8,gets-normal,3522f3,08c0c8
00090e7c,charaview-normal,1d00a9,090e7c
00094903,radio_photo-rd_ani_daiousasori,094903,094903
0009883c,radio_photo-rd_ani_kumo,09883c,09883c
000a0152,radio_photo-rd_pla_kuzu,0a0152,0a0152
000a365b,charaview-normal,235ed5,0a365b
000a4397,charaview-normal,2360b8,0a4397
000a795f,radio_photo-rd_eqi_mk22,0a795f,0a795f
000ac0c1,gets-normal,3522f3,0ac0c1
000ac2c8,charaview-normal,985b19,0ac2c8
000adf24,offline_camouf_e-eastg,b6dcd9,0adf24
000af144,offline_camouf_e-westg,b6dcd9,0af144
000b8842,radio_photo-rd_ani_oumu,0b8842,0b8842
000b957a,radio_photo-rd_ch_sig_01,0b957a,0b957a
000b957b,radio_photo-rd_ch_sig_02,0b957b,0b957b
000b957c,radio_photo-rd_ch_sig_03,0b957c,0b957c
000c4fe7,charaview-normal,6c892b,0c4fe7
000cd008,charaview-normal,489d4f,0cd008
000cd008_13565e4a4f19bb786921d49144460da5,sv_map-standard,bbecdd,0cd008
000ceb01,radio_photo-rd_eqi_revival,0ceb01,0ceb01
000cefa2,radio_photo-rd_eqi_rgd5,0cefa2,0cefa2
000d1404,radio_photo-rd_eqi_rpg7,0d1404,0d1404
000d482b,radio_photo-rd_ch_boss_fight,0d482b,0d482b
000d9828,picture_processing-pic_pro_005,ae2995,0d9828
000dbebc,charaview-normal,6c892b,0dbebc
000dd02c,picture_processing-pic_pro_009,ae2995,0dd02c
000e1f3a,radio_photo-rd_eqi_sp_m1911a1,0e1f3a,0e1f3a
0010363e,charaview-normal,235ed5,10363e
0010d484,offline_camouf_e-fest,b6dcd9,10d484
00113632,charaview-normal,235ed5,113632
0011366c,charaview-normal,235ed5,11366c
00115e54,radio_photo-rd_mec_zu23,115e54,115e54
001248b2,map_sv_gen-19e319a0,0da6f6,1248b2
001248b2,map_sv_gen-1a77f668,2d26f6,1248b2
001248b2,map_sv_gen-1ecf0522,ddaaf3,1248b2
001248b2,map_sv_gen-2b2226f3,bea6f3,1248b2
001248b2,map_sv_gen-33f27da4,ed26f5,1248b2
001248b2,map_sv_gen-3c12bdc8,cda6f5,1248b2
001248b2,map_sv_gen-540ad23b,3da6f4,1248b2
001248b2,map_sv_gen-5c4e0cd5,0d26f6,1248b2
001248b2,map_sv_gen-65760644,3d26f4,1248b2
001248b2,map_sv_gen-6d560dfe,3ea6f4,1248b2
001248b2,map_sv_gen-73eaa95d,bda6f5,1248b2
001248b2,map_sv_gen-76a9926b,cd26f5,1248b2
001248b2,map_sv_gen-77f7d5e9,bd26f5,1248b2
001248b2,map_sv_gen-a50b693a,be26f3,1248b2
001248b2,map_sv_gen-b51e6e3c,bd26f3,7b153a
001248b2,map_sv_gen-b976d4a1,fd2af3,1248b2
001248b2,map_sv_gen-cae5d932,0e26f6,1248b2
001248b2,map_sv_gen-dca04802,3e26f4,1248b2
001248b2,map_sv_gen-df76ddff,ad26f5,1248b2
001248b2,map_sv_gen-f016a25e,bd26f7,1248b2
00125003,charaview-normal,6c892b,125003
0012c0b4,gets-normal,3522f3,12c0b4
0012d046,picture_processing-pic_pro_004,ae2995,12d046
00135a88,charaview-normal,238057,135a88
00141e76,charaview-normal,1d00a9,141e76
00141e76,radio-normal,30032b,141e76
001446c3,radio_photo-rd_mec_yf12a,1446c3,1446c3
0014b46f,memcard-saru,0aaec4,14b46f
00155d88,radio-normal,2bba69,155d88
0015cada,flash_back-pic5,cd1d72,15cada
00168752,sv_map-standard,78733f,168752
00178752,sv_map-standard,78733f,178752
00184159,charaview-normal,2360b8,184159
00186029,offline_camouf_g-valen,b6dcd9,186029
0018c06c,radio_photo-rd_sta_syokuryouko,18c06c,18c06c
00194261,charaview-normal,1d00a9,194261
001b1537,map_sv_gen-114d09ad,8632ce,1b1537
001b1537,map_sv_gen-3f6853f1,85b2ce,1b1537
001b1537,map_sv_gen-f7587880,abfbe3,1b1537
001b154f,map_sv_gen-9a30236e,0fa6f4,1b154f
001b43b4,charaview-normal,2360b8,1b43b4
001b4bd8,charaview-normal,6c892b,1b4bd8
001b662b,charaview-normal,489d4f,c92bba
001b662b,charaview-normal,985b19,1b662b
001ba4d8,radio_photo-rd_ani_kasasagi,1ba4d8,1ba4d8
001bb938,radio_photo-rd_ani_musasabi,1bb938,1bb938
001beddd,offline_camouf_s-anubis,b6dcd9,1beddd
001bf8ec,map_sv_gen-aa61ce4f,a33283,1bf8ec
001bf8ec,map_sv_gen-c9f17727,ad26f4,1bf8ec
001bf8ed,map_sv_gen-f141711d,af26f4,1bf8ed
001bf8fc,map_sv_gen-4d6f73e1,cd26f4,1bf8fc
001bf904,map_sv_gen-e4471cc7,dd26f3,1bf904
001bf90c,map_sv_gen-29cc2cda,ed26f3,1bf90c
001bf90d,map_sv_gen-bb1a96b8,ef26f4,1bf90d
001bf914,map_sv_gen-cd92d2ce,fd26f4,1bf914
001bf91c,map_sv_gen-bc85faf2,0d26f5,1bf91c
001bf91d,map_sv_gen-e995ad40,0f26f5,1bf91d
001bf924,map_sv_gen-8a9b139f,1d26f5,1bf924
001bf92c,map_sv_gen-2a39d462,2d26f4,1bf92c
001bfa14,map_sv_gen-1959c0d5,fd26f5,1bfa14
001bfa24,map_sv_gen-188e2def,1d26f6,1bfa24
001bfa34,map_sv_gen-cb93f49f,3d26f6,1bfa34
001bfaec,map_sv_gen-b372dd52,ad26f8,1bfaec
001c16c9,radio_photo-rd_pla_hiratake,1c16c9,1c16c9
001c4bcb,charaview-normal,489d4f,1c4bcb
001c4bcb_893ec4e5e61202730c82f3c3dc3306f1,sv_map-standard,bbecdd,1c4bcb
001c886c,charaview-normal,985b19,1c886c
001d9f6f,offline_camouf_e-dododo,b6dcd9,1d9f6f
001dcfc8,charaview-normal,985b19,1dcfc8
001dcfc8,memcard-normal,fdea15,180b82
001dcfc8,memcard_mg-normal,fdea15,180b82
001e4ad2,radio_photo-rd_eqi_calorymate,1e4ad2,1e4ad2
001eaab3,charaview-normal,6c892b,1eaab3
001f57a8,radio_photo-rd_eqi_magazine,1f57a8,1f57a8
001fd043,charaview-normal,489d4f,1fd043
001fd043_cf6f6ffd8dfa5a03e150da0f1347fc82,sv_map-standard,bbecdd,1fd043
001fd51a,radio_photo-rd_eqi_m1911a1,1fd51a,1fd51a
002006f0,radio_photo-rd_ani_greenpaison,2006f0,2006f0
002043af,charaview-normal,2360b8,2043af
0020c1dc,memcard-normal,fdea15,20c1dc
0020c1dc,memcard-saru,0aaec4,20c1dc
0020c1dc,memcard_mg-normal,fdea15,20c1dc
0020c1dc,options-normal,05cb73,20c1dc
0020fc38,radio_photo-rd_ani_kumo_2,20fc38,20fc38
00215d88,radio-normal,21f669,215d88
00215d88,radio-normal,21f669,a85d85
00215d88,radio-normal,52f669,e45d91
00215d88,radio-normal,f0f669,215d88
00215d88,radio-normal,f0f669,645db9
0021c067,map_sv_gen-aa61ce4f,a33282,21c067
0021e658,map_sv_gen-f7587880,abfbe3,21e658
00229c1c,options-normal,05cb73,229c1c
0022deda,radio_photo-rd_eqi_smkgrd,22deda,22deda
002343af,charaview-normal,2360b8,2343af
002362e7,charaview-normal,238057,2362e7
0024436b,charaview-normal,2360b8,24436b
00253762,charaview-normal,6c892b,253762
0025962b,charaview-normal,235ed5,e9362a
0025962b,charaview-normal,2360b8,25962b
0025963b,charaview-normal,2360b8,25963b
0025cada,flash_back-pic6,cd1d72,25cada
0026436e,charaview-normal,2360b8,26436e
00265ab1,radio_photo-rd_ch_end,265ab1,265ab1
00266342,radio_photo-rd_ch_gru,266342,266342
00266501,offline_camouf_i-swamp,b6dcd9,266501
002671cf,radio_photo-rd_ch_kgb,2671cf,2671cf
0026d01e,radio-normal,2bba69,26d01e
00274fc0,charaview-normal,6c892b,274fc0
00275011,charaview-normal,6c892b,275011
00279634,radio_photo-rd_ani_nezumi,279634,279634
002855a1,charaview-normal,985b19,2855a1
00289658,charaview-normal,2360b8,289658
002943af,charaview-normal,2360b8,2943af
0029df46,radio_photo-rd_eqi_tmygun,29df46,29df46
002a1de5,radio_photo-rd_ani_shiroobi,2a1de5,2a1de5
002a44f7,offline_camouf_i-rock,b6dcd9,2a44f7
002a8862,radio_photo-rd_eqi_scorpion,2a8862,2a8862
002cbc17,radio_photo-rd_eqi_buttoncamera,2cbc17,2cbc17
002cc4b2,radio_photo-rd_ani_benimon,2cc4b2,2cc4b2
002cf5d4,map_sv_gen-ebf37215,ada6f5,2cf5d4
002cf5dc,map_sv_gen-5edca7e3,bda6f5,2cf5dc
002cf5e4,map_sv_gen-d43cc5c3,cda6f4,2cf5e4
002cf5ec,map_sv_gen-4de7fd0a,dda6f4,2cf5ec
002cf5f4,map_sv_gen-cc4e01d9,eda6f5,2cf5f4
002cf604,map_sv_gen-b3e033dd,85b446,2cf604
002cf605,map_sv_gen-9a30236e,0fa6f4,2cf605
002cf60c,map_sv_gen-8a868206,1da6f6,2cf60c
002cf6fc,map_sv_gen-4afe46b9,fda6f6,2cf6fc
002cf71c,map_sv_gen-7a4d0bdb,3da6f6,2cf71c
002d366f,charaview-normal,235ed5,2d366f
002d5bb8,charaview-normal,238057,2d5bb8
002d6022,offline_camouf_e-valen,b6dcd9,2d6022
002e8302,radio_photo-rd_ch_bos_front,2e8302,2e8302
002f1182,radio_photo-rd_ch_cam_front,2f1182,2f1182
002fd5df,charaview-normal,489d4f,2fd5df
002fd5df_93e6fbc8e11d669b422a93b924301636,sv_map-standard,bbecdd,2fd5df
0030965f,charaview-normal,2360b8,30965f
003157a0,charaview-normal,238057,3157a0
00318ec6,radio_photo-rd_eqi_knife,318ec6,318ec6
0031b782,radio_photo-rd_ch_eve_front,31b782,31b782
0032c4c8,offline_camouf_f-ndsrt,b6dcd9,32c4c8
0032e340,map_sv_gen-3f6853f1,85b2cf,32e340
00337d1f,picture_processing-pic_pro_018,ae2995,337d1f
0033cfc7,charaview-normal,6c892b,33cfc7
0033f6ad,picture_processing-pic_pro_019,ae2995,33f6ad
0034ca32,offline_camouf_s-grenade,b6dcd9,34ca32
0034df8e,radio-normal,cbfd1e,34df8e
0035cada,flash_back-pic7,cd1d72,35cada
0035ce0b,offline_camouf_i-rainbow,b6dcd9,35ce0b
0036bd68,offline_camouf_i-chamel,b6dcd9,36bd68
0037aa3e,radio_photo-rd_eqi_pntzmn,37aa3e,37aa3e
003807d3,offline_camouf_i-mummy,b6dcd9,3807d3
003886e9,radio-normal,21f669,3886e9
003886e9,radio-normal,f0f669,3886e9
0038f811,charaview-normal,985b19,38f811
00392f42,radio_photo-rd_ch_med_front,392f42,392f42
003987a9,radio-normal,21f669,3987a9
003987a9,radio-normal,f0f669,3987a9
003a0253,offline_camouf_s-bonsai,b6dcd9,3a0253
003a437d,charaview-normal,2360b8,3a437d
003a52ae,options-normal,05cb73,3a52ae
003a7c61,radio_photo-rd_sta_yousai_fusa,3a7c61,3a7c61
003aba2b,radio_photo-rd_ch_bos_side_l,3aba2b,3aba2b
003aba31,radio_photo-rd_ch_bos_side_r,3aba31,3aba31
003abe0b,offline_camouf_s-swood,b6dcd9,3abe0b
003b1537,map_sv_gen-b97d19a1,b026f3,3b1537
003b9652,charaview-normal,2360b8,3b9652
003ba5d1,map_sv_gen-069a62e5,db664a,3ba5d1
003ba5d1,map_sv_gen-2c45fb8f,db564c,3ba5d1
003ba5d1,map_sv_gen-31a6d457,db564a,3ba5d1
003ba5d1,map_sv_gen-406dd48e,db624a,3ba5d1
003ba5d1,map_sv_gen-44080553,db5e4a,3ba5d1
003ba5d1,map_sv_gen-47acbe29,db624c,3ba5d1
003ba5d1,map_sv_gen-4f866e17,db5a4e,3ba5d1
003ba5d1,map_sv_gen-58626d1d,db5a4c,3ba5d1
003ba5d1,map_sv_gen-65461887,db5a4a,3ba5d1
003ba5d1,map_sv_gen-65bac6ae,db5e4c,3ba5d1
003ba5d1,map_sv_gen-a41cf966,db664c,3ba5d1
003ba5d1,map_sv_gen-add12434,db564e,3ba5d1
003ba5d1,map_sv_gen-c1355fde,db5e4e,3ba5d1
003ba5d1,map_sv_gen-cf39026a,db624e,3ba5d1
003ba5d1,map_sv_gen-dca01fba,db664e,3ba5d1
003bd3e7,charaview-normal,6c892b,3bd3e7
003bd3e7,charaview-normal,6c892b,838fc4
003cb15f,radio_photo-rd_movie_base,3cb15f,3cb15f
003cba6b,radio_photo-rd_mec_shago_sit,3cba6b,3cba6b
003d7020,radio_photo-rd_ch_boss_vr,3d7020,3d7020
003d9a2e,radio_photo-rd_ch_zro_side_l,3d9a2e,3d9a2e
003d9a34,radio_photo-rd_ch_zro_side_r,3d9a34,3d9a34
003e24e2,charaview-normal,985b19,3e24e2
003e43b2,charaview-normal,2360b8,3e43b2
003e5218,radio_photo-rd_ani_taikobura,3e5218,3e5218
003e5e9f,radio_photo-rd_pla_shishitake,3e5e9f,3e5e9f
003e965a,radio_photo-rd_eqi_frymask,3e965a,3e965a
003f1510,offline_camouf_i-usmx,b6dcd9,3f1510
003f5002,radio_photo-rd_ch_sig_front,3f5002,3f5002
003f6fad,weapons-dragnov,0e86ce,3f6fad
003fa520,offline_camouf_i-wsnake,b6dcd9,3fa520
003fb5c0,radio_photo-rd_pla_hitoyotake,3fb5c0,3fb5c0
00401158,radio_photo-rd_ani_sangohebi,401158,401158
004043a9,charaview-normal,2360b8,4043a9
0040482e,radio_photo-rd_ani_shirohebi,40482e,40482e
00406fad,weapons-rpg7,3468fb,406fad
00412434,radio_photo-rd_sta_inakamachi,412434,412434
0042367f,charaview-normal,235ed5,42367f
004244b2,offline_camouf_f-klmk,b6dcd9,4244b2
00429728,offline_camouf_s-btiger,b6dcd9,429728
00438b80,map_sv_gen-0d858997,de26f4,438b80
00438b80,map_sv_gen-188e2def,1d26f7,438b80
00438b80,map_sv_gen-1959c0d5,fd26f6,438b80
00438b80,map_sv_gen-19e319a0,0da6f7,438b80
00438b80,map_sv_gen-1a77f668,2d26f7,438b80
00438b80,map_sv_gen-1ecf0522,ddaaf4,438b80
00438b80,map_sv_gen-2a39d462,2d26f5,438b80
00438b80,map_sv_gen-2b2226f3,bea6f4,438b80
00438b80,map_sv_gen-2c45fb8f,db564d,438b80
