texture_stem,region_folder,stage,img_strcode
00005011.img,fr,r_sna01,005011
00005011.img,fr,r_sna02,005011
00005011.img,gr,r_sna01,005011
00005011.img,gr,r_sna02,005011
00005011.img,it,r_sna01,005011
00005011.img,it,r_sna02,005011
00005011.img,jp,r_sna01,005011
00005011.img,jp,r_sna02,005011
00005011.img,sp,r_sna01,005011
00005011.img,sp,r_sna02,005011
0003a157.img,fr,facepaint-brown,03a157
0003a157.img,gr,facepaint-brown,03a157
0003a157.img,it,facepaint-brown,03a157
0003a157.img,jp,facepaint-brown,03a157
0003a157.img,sp,facepaint-brown,03a157
0003a157.img_03f17ff9395846ea5bf936552c3b988a,fr,facepaint-national_sv_vr,03a157
0003a157.img_03f17ff9395846ea5bf936552c3b988a,gr,facepaint-national_sv_vr,03a157
0003a157.img_03f17ff9395846ea5bf936552c3b988a,it,facepaint-national_sv_vr,03a157
0003a157.img_03f17ff9395846ea5bf936552c3b988a,jp,facepaint-national_sv_vr,03a157
0003a157.img_03f17ff9395846ea5bf936552c3b988a,sp,facepaint-national_sv_vr,03a157
0003a157.img_072734442395aa77b4dc73a300e14635,fr,facepaint-wood,03a157
0003a157.img_072734442395aa77b4dc73a300e14635,gr,facepaint-wood,03a157
0003a157.img_072734442395aa77b4dc73a300e14635,it,facepaint-wood,03a157
0003a157.img_072734442395aa77b4dc73a300e14635,jp,facepaint-wood,03a157
0003a157.img_072734442395aa77b4dc73a300e14635,sp,facepaint-wood,03a157
0003a157.img_079c21f87c2396e85d5f7c82637e7352,fr,facepaint-zomb,03a157
0003a157.img_079c21f87c2396e85d5f7c82637e7352,gr,facepaint-zomb,03a157
0003a157.img_079c21f87c2396e85d5f7c82637e7352,it,facepaint-zomb,03a157
0003a157.img_079c21f87c2396e85d5f7c82637e7352,jp,facepaint-zomb,03a157
0003a157.img_079c21f87c2396e85d5f7c82637e7352,sp,facepaint-zomb,03a157
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,fr,facepaint-national_sv,03a157
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,gr,facepaint-national_sv,03a157
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,it,facepaint-national_sv,03a157
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,jp,facepaint-national_sv,03a157
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,sp,facepaint-national_sv,03a157
0003a157.img_1ba470027dacd7c10adf661610dc04e1,fr,facepaint-mount,03a157
0003a157.img_1ba470027dacd7c10adf661610dc04e1,gr,facepaint-mount,03a157
0003a157.img_1ba470027dacd7c10adf661610dc04e1,it,facepaint-mount,03a157
0003a157.img_1ba470027dacd7c10adf661610dc04e1,jp,facepaint-mount,03a157
0003a157.img_1ba470027dacd7c10adf661610dc04e1,sp,facepaint-mount,03a157
0003a157.img_1ece3f27cf607206241327a91b57c89d,fr,facepaint-national_fr,03a157
0003a157.img_1ece3f27cf607206241327a91b57c89d,gr,facepaint-national_fr,03a157
0003a157.img_1ece3f27cf607206241327a91b57c89d,it,facepaint-national_fr,03a157
0003a157.img_1ece3f27cf607206241327a91b57c89d,jp,facepaint-national_fr,03a157
0003a157.img_1ece3f27cf607206241327a91b57c89d,sp,facepaint-national_fr,03a157
0003a157.img_2be35633bee586cebc75a438f0e6e4e2,fr,facepaint-green,03a157
0003a157.img_2be35633bee586cebc75a438f0e6e4e2,gr,facepaint-green,03a157
0003a157.img_2be35633bee586cebc75a438f0e6e4e2,it,facepaint-green,03a157
