sha1,game_version,region,relative_path_from_region_folder,texture_strcode
3d9eeb448c95b3551e705e917f5ba0bb2e40d3eb,Subsistence,Europe (Beta),MGS/slot/0/a13aa8,57ace5
3d9eeb448c95b3551e705e917f5ba0bb2e40d3eb,Subsistence,Europe (Beta),MGS/slot/0/a13aa8,580dd5
2b1547f4d1c67f8e59c5f06b71b8a25c22f8fa40,Subsistence,Europe (Beta),MGS/slot/0/a13aa8,d173e6
e0a646527943fc01a300a5b243ff8cb84a11bbfc,Subsistence,Europe (Beta),MGS/slot/0/a13aa8,e173e5
e93e0ccae6876bce06d0b4a18dbee2673f0e9eb4,Subsistence,Europe (Beta),MGS/slot/0/a13aa8,ea3da6
1b82a30c93c3bab9b1a64e6aab876adaef6dee8a,Subsistence,Europe (Beta),MGS/slot/1/413aa8,0190c3
03085eb48aa337279edf0a1aed55c1c52d3e45d2,Subsistence,Europe (Beta),MGS/slot/1/413aa8,03a157
ae9bf0af4fbe4c7432b642b05fa963fd91882464,Subsistence,Europe (Beta),MGS/slot/1/413aa8,0bc838
422a5537ffa276efefa6d0e8585e30fdc64d7ea9,Subsistence,Europe (Beta),MGS/slot/1/413aa8,1560a9
05266fd4204d16453f50ab3b909676a22ecfc115,Subsistence,Europe (Beta),MGS/slot/1/413aa8,16c328
e6b5a5f87eccc47c6cc5ca686516a23d6f8ed1d5,Subsistence,Europe (Beta),MGS/slot/1/413aa8,1a7920
cd12b63972484c07b39ff27df3b2ed5a580fe3ca,Subsistence,Europe (Beta),MGS/slot/1/413aa8,260856
74f1b89df8ed909dcd17b582ecaa941f7db7c638,Subsistence,Europe (Beta),MGS/slot/1/413aa8,267e42
63af1e3f40ca75513e9655e38674a99f917fc405,Subsistence,Europe (Beta),MGS/slot/1/413aa8,321206
193f5d34cb84c0223361a42ef70dcfda79df5838,Subsistence,Europe (Beta),MGS/slot/1/413aa8,322fe4
c73902c79b5fd8255c71e09978517fbdf92aa08a,Subsistence,Europe (Beta),MGS/slot/1/413aa8,3a5c3a
a9355439e77a099c40f125c37d4cc8aa4388b2cd,Subsistence,Europe (Beta),MGS/slot/1/413aa8,3e85c6
e42eddcdfd20f03d10cf5eebc561164704738d2f,Subsistence,Europe (Beta),MGS/slot/1/413aa8,3fce7c
5fb6f1a0b2ed2e8a06587e7d2ed367930e1b326a,Subsistence,Europe (Beta),MGS/slot/1/413aa8,48d33f
dd625dfe8451312c2e00e6c6d0abaf78f40e7b16,Subsistence,Europe (Beta),MGS/slot/1/413aa8,4a4cab
07d849323fab86facd7d1347a6054bbafa20fa7e,Subsistence,Europe (Beta),MGS/slot/1/413aa8,556a8b
22e875e00b7755b55bc0557cc9c06154801e65d3,Subsistence,Europe (Beta),MGS/slot/1/413aa8,67fade
e3f0b76b22834e85567f989b92a26e905dc583b7,Subsistence,Europe (Beta),MGS/slot/1/413aa8,67fadf
0d477f41869758dca976d8804ad282be6c65ad3f,Subsistence,Europe (Beta),MGS/slot/1/413aa8,67fae0
d9712e2125326ec758c8831c9bb22e6f36e72387,Subsistence,Europe (Beta),MGS/slot/1/413aa8,67fae1
d34421efc59edfbd507ed15e38383a2008827127,Subsistence,Europe (Beta),MGS/slot/1/413aa8,69ea2d
da561c8edbe29682082c7db4c5161a6af1855325,Subsistence,Europe (Beta),MGS/slot/1/413aa8,6bda78
be2e691086e5e7ed30c7d59454ce4d77f57ebe11,Subsistence,Europe (Beta),MGS/slot/1/413aa8,6bff47
9be49397a987aca60ab1bebd4569300752e2c74f,Subsistence,Europe (Beta),MGS/slot/1/413aa8,6d80b7
838819d87906cb42759939beade02bf8e7de5e01,Subsistence,Europe (Beta),MGS/slot/1/413aa8,6f1f57
6c9cd982b1bc159371b265a668b21a56aadf34f1,Subsistence,Europe (Beta),MGS/slot/1/413aa8,72a09c
6eec73ce0bc8d64ea9680f0b6fd6bb02715d4e41,Subsistence,Europe (Beta),MGS/slot/1/413aa8,74975a
42d2478b23238284d82b6fc0b4a232f9678d46b3,Subsistence,Europe (Beta),MGS/slot/1/413aa8,74afc6
562f45fbefabc0e6392a915e9d2275b90837e5dd,Subsistence,Europe (Beta),MGS/slot/1/413aa8,7712e4
f233a3ed1f4958763c92c654852962e7a358679b,Subsistence,Europe (Beta),MGS/slot/1/413aa8,799bbf
23ceddcb288278ff640a0f5bd293f23c1d43c85d,Subsistence,Europe (Beta),MGS/slot/1/413aa8,7a207d
28cc3d9c47e4040ae7fa0ddc9ca8de8881ad1257,Subsistence,Europe (Beta),MGS/slot/1/413aa8,7ab586
4cd37c6da30a562b399f026f8c0628156ec73016,Subsistence,Europe (Beta),MGS/slot/1/413aa8,7bba5e
a7b0e61712b003184786010ff2a91f9b46cf0620,Subsistence,Europe (Beta),MGS/slot/1/413aa8,7c5067
b2a67ee31d9e2344190f595f6f2e14c1acad123d,Subsistence,Europe (Beta),MGS/slot/1/413aa8,7d6803
e45519df5ba30845fe0af2dc2a30f77e98c67c98,Subsistence,Europe (Beta),MGS/slot/1/413aa8,807c2b
e1b89bc7834688a95d5806d647aeda1027f9c7c6,Subsistence,Europe (Beta),MGS/slot/1/413aa8,93a011
f9bb8162634eb71f84b9ad8407e4afda4d625664,Subsistence,Europe (Beta),MGS/slot/1/413aa8,a23182
bd0a78f1c960eda3808e1c1064016f5a4f6b86ec,Subsistence,Europe (Beta),MGS/slot/1/413aa8,a32ed0
87c7b725c393057de32c9dd7f70f19c1eb3cd2ec,Subsistence,Europe (Beta),MGS/slot/1/413aa8,dc8482
4d154bc4c51b05c33b00391519f5d8687f27cf87,Subsistence,Europe (Beta),MGS/slot/1/413aa8,de1bfa
ad7c276eabfc025db4b9ba1bc6883b9284b9bf55,Subsistence,Europe (Beta),MGS/slot/1/413aa8,e37ffb
5d5631245933d530be3417040caf292e3d3b87e9,Subsistence,Europe (Beta),MGS/slot/1/413aa8,e5ba5c
1459cb0e117f9ef311a6c5e03561a5996fbf364a,Subsistence,Europe (Beta),MGS/slot/1/413aa8,ecc6f4
4142034fb87117ae9732bc3725f92d16989edb8b,Subsistence,Europe (Beta),MGS/slot/1/413aa8,f2bf48
8f2553e3dd0db5b52bf680ff0030b290cbc13b01,Subsistence,Europe (Beta),MGS/slot/1/413aa8,fe2f9f
7b7c5d73cd1324e39f5aaddfb38507a8a98439a0,Subsistence,Europe (Beta),MGS/slot/10/b6dcd9,32c4c8
84dca8dbc1d6eb03b3774dd88c9721b703532a40,Subsistence,Europe (Beta),MGS/slot/100/1139b5,2bbe38
1b82a30c93c3bab9b1a64e6aab876adaef6dee8a,Subsistence,Europe (Beta),MGS/slot/101/413aa8,0190c3
03085eb48aa337279edf0a1aed55c1c52d3e45d2,Subsistence,Europe (Beta),MGS/slot/101/413aa8,03a157
cba0974d1b1d9a5428f1f120be806a2a093c42dc,Subsistence,Europe (Beta),MGS/slot/101/413aa8,04109e
ae9bf0af4fbe4c7432b642b05fa963fd91882464,Subsistence,Europe (Beta),MGS/slot/101/413aa8,0bc838
e89253f824ba921724554ebe549a3b18acc0d612,Subsistence,Europe (Beta),MGS/slot/101/413aa8,120998
b7c1e3c6b7bbf436837f29f52375c7c527bab240,Subsistence,Europe (Beta),MGS/slot/101/413aa8,129409
69cfe916adfe7e39e9be789176acc6c2a39fe69b,Subsistence,Europe (Beta),MGS/slot/101/413aa8,140ca3
05266fd4204d16453f50ab3b909676a22ecfc115,Subsistence,Europe (Beta),MGS/slot/101/413aa8,16c328
7e98f3bb88e35cc38da7ab4a86525676c698552d,Subsistence,Europe (Beta),MGS/slot/101/413aa8,1ff04c
b526373a9b27ddcd4d93999f73c22625583d3bca,Subsistence,Europe (Beta),MGS/slot/101/413aa8,2631c2
