sha1,game_version,region,relative_path_from_region_folder,texture_strcode
af39aba59db4d86ebfd38408523be94f8c52068f,Trial Edition,USA,MGS/slot/0/1d00a9,141e76
1754e0d1321e7210625a0851ca5779cc82874aee,Trial Edition,USA,MGS/slot/0/1d00a9,51ed70
c2be0cd3a5b906d5f9724e3eb794006a5a2a7ea0,Trial Edition,USA,MGS/slot/0/766558,05451a
a4513d8924382ad3ac1ce4be60500f27f122d0f2,Trial Edition,USA,MGS/slot/0/766558,215d88
baa4fdbb9150b88f186c1b47309a339b98687044,Trial Edition,USA,MGS/slot/0/766558,348351
ea25755326cde1910347b251e6acd9ac2848f820,Trial Edition,USA,MGS/slot/0/766558,34df8e
efa2111ddcb94eab490005f73dab9885b814c59f,Trial Edition,USA,MGS/slot/0/766558,3987a9
38178a71ef5da0d0cc0c020091c015300454e12d,Trial Edition,USA,MGS/slot/0/766558,4d847b
f2341f519731664a4fb097684f7e604be5321f09,Trial Edition,USA,MGS/slot/0/766558,58976d
05cd1abacb2c1464e74ac33055c6bac88b6dd378,Trial Edition,USA,MGS/slot/0/766558,6b1eae
a3c800390e06199efae6df299aceb7414729cf08,Trial Edition,USA,MGS/slot/0/766558,9be091
a0f7b5658c7d15d61cbab22dbb5e1fd15bd32f1d,Trial Edition,USA,MGS/slot/0/766558,a2abbb
9f186cc5dac25fa5c536f1d5cffc737363ec73fc,Trial Edition,USA,MGS/slot/0/766558,bea9d9
849672ac97e6b04e1989cb127d41945b0f427e93,Trial Edition,USA,MGS/slot/0/766558,d8a8b0
76a3a9136ff962521783c1fc5a8d56636377b230,Trial Edition,USA,MGS/slot/0/766558,de59d2
9bc5b8238b62451438efb5d20f1934dabbeebd71,Trial Edition,USA,MGS/slot/0/766558,dea8b0
dbf9536ac992adddde1c2fe6971f6b3d7389b87a,Trial Edition,USA,MGS/slot/0/766558,f9de9d
05266fd4204d16453f50ab3b909676a22ecfc115,Trial Edition,USA,MGS/slot/0/80080c,16c328
b5705b9f7e87c6d52576151f0007fcc02dfa6f87,Trial Edition,USA,MGS/slot/0/80080c,556a8b
