texture_name,tri_dumped_tga_sha1,tri_dumped_width,tri_dumped_height,tri_dumped_width_pow2,tri_dumped_height_pow2,tri_dumped_png_converted_sha1,tri_dumped_alpha_stripped_sha1
0000368b,8af1374eec594bdd10419ed2be4c6d25089de972,64,32,64,32,edec988228af3d62dc114baaf0f77d01dc2bbb98,2efe56b7b19ee4a2f54ab8e8a230490b9fd7df1f
00005e41,0990d33deee64679b35145b7d1642b9bd89ce05f,64,32,64,32,2eee66b577b4d634eed42af1e4e977ffbdc65edd,d7edf96d896b889933cc9ee949f70ce7be40805f
0000719c,91dff9d7827c952640722b8a42fcf4dcc1b06d30,184,128,256,128,7a2e0698c879f7f23882c9c69695798f591c5e3b,0000000000000000000000000000000000000000
00007c5c,ce6a13c24565c9f81c9b588102a229c3386bad6b,440,208,512,256,5831a4669cbe09d88726006a22b5239af0c26b1e,b3ee4af08e072df53b4feab48ae83caf696bc83d
0000bdd3,3f336ce97fbd92faf5b99b4d5cd309cd1ffa1550,440,208,512,256,e9bc1c58a1327efbdb23817ddf7f9097d8b36224,2445dd5cc28b266ffe52e2f815d74681bc1a2491
0000c6fa,3368e071fc2229662adbfca3a87d186b0b0e5cbd,142,50,256,64,2fa9983dd713c9aa4e5161246c7d8183cb0e38f5,0000000000000000000000000000000000000000
00011816,d2d70e001d62b074292aff822a2fa1cf7d9b8a85,142,50,256,64,bab3317ec4f1d21b7cfcd2053c02d60bb1048b33,0000000000000000000000000000000000000000
0001435e,617df5d05a765bfa39524c743820a3d4de0b4553,128,52,128,64,67e338ad3c9d7e0417a1af6ef5e16197c84de3ca,8292fa976e21877358f1111f2e78ebbda975f541
00014362,fddd1372df5dc421624109c5705c4bf46d5b6b91,292,24,512,32,5df9c113a11c5fe3b4c65694f9a0073a491453e3,e70825c4c7c605046ce32298f312c47e2dd42eaf
00014366,2e56ab03f3aa35b18fa2df02d6af2c9575d8dda2,238,48,256,64,20f72ca96bf2c9705a9c1d5c3ed1637eeecbe8af,0d1b82cb08ba4eed7bdf9950106bb45a91f2707a
0001436a,d94b29dc8e8ca26f2cd64be008e2255396a6a829,376,24,512,32,74d4b1d8fa4d0dacd94d97ecd9e1f7d3f1aedd37,78e49d70819489e9a56b10d0b5d78785014617b7
00014fef,e795d449f1cdc92e07cef1e332000830fa99e681,64,32,64,32,cd06656ae13d02611b26917475929ad38d4e8527,312c6305c7802eb235201f7a71d46aee0b3f49c0
0001a782,f2657693fe58cdbafe022a1829ef72f8a485416f,64,64,64,64,101305d83ae34a5ff6ccada6b5686d662da858c9,c34990e3fc484dc81931798adca32cadb0c6abb6
000237d1,4ad4faea4a90e16a4d654ae9574c434c12de6045,6,8,8,8,3b30f1d9b1b074537026fdcff04d874480050c10,0000000000000000000000000000000000000000
0002a890,ea83ad7252ef3de4fe467bbb8ae5f66bc633e06d,226,50,256,64,7eec7f5d57750f8bf4c1d56867cc6b4605682ec3,0000000000000000000000000000000000000000
0002b182,f7efb0663741e719b43ee39aa20a9ded40a74169,142,50,256,64,515c98f42e02dad26624aa5108fffb8ef57c4012,0000000000000000000000000000000000000000
0002bdfa,ec46e6302e24029bf9ec71c9b074941b9e1f78bf,142,50,256,64,25c26e63e4a14437dcad7d8e3559c6aa5f2622eb,0000000000000000000000000000000000000000
0002c24e,38baa475cc207b19983d6a06731ec68ba31148f1,142,50,256,64,9f013704e5c4e554c11a81f0a1949d95efcee9f9,0000000000000000000000000000000000000000
0002f937,cf07935657084d9245f1f430d09d9d89f649495c,156,116,256,128,61332d5a80fc58618e13aff00eab2e747a7a93fc,fcd62f6e2eb310c166a9ea1d207e4904ab3f5619
000304be,968c7b54402c942f672b0098b7ec19cd94f28d80,440,208,512,256,06386ae9df8ac8cd214f3583e52777db1c968c0b,2764b225083f23e6c69f490acb6f2f807aba4fe8
00030da5,a6ec03d7185791d9c116e370204d8fb005b510de,64,64,64,64,58f82966748daf314c11b61b1ef8e80cac70b6f4,932a51479da115fe5791c387acda01e88af413dd
0003247e,d07319286e54d0dc0ba0c0820279ae670c9496a3,440,208,512,256,8a125aea54ecd22e64463f20d3470c5d0a329e25,f6548c34675e3af5006e9bc25f93809d31942b56
0003436f,2ad177a76b3ee983550f3b7939d5ea04ef483609,64,64,64,64,eb12202a4ced30e96246334ee3d68e04cde0b545,de21796088185d86bb6a64e1892092f64ad87ea2
00035553,b9c2316910e70bc41df377203636757785112a88,256,50,256,64,19b7ca9067dbb4de819384261649fd84cd638aa1,0000000000000000000000000000000000000000
