;texture_filename, stage, tri_strcode, texture_strcode

;MGS3 - PC Master Collection (From BP_Manifests)										

0000c6fa,kyle_op,223a57,00c6fa
00011816,kyle_op,224e9e,011816
0001435e,v000a_0,db8275,01435e
00014362,v000a_0,db8275,014362
00014366,v000a_0,db8275,014366
0001436a,v000a_0,db8275,01436a
0001a782,s003a,3ec511,01a782
0001a782,s021a,3ec511,01a782
0001a782,s051a,3ec511,01a782
0001a782,s051b,3ec511,01a782
0001a782,s051b_0,3ec511,01a782
0001a782,v003a,3ec511,01a782
0002a890,kyle_op,224e9e,02a890
0002b182,kyle_op,224e9e,02b182
0002bdfa,kyle_op,2251bc,02bdfa
0002c24e,kyle_op,2252d5,02c24e
0003247e,net,fdea15,03247e
0003247e,select,bae01c,03247e
0003247e,title,fdea15,03247e
00035553,kyle_op,223a57,035553
0003f2e2,ending,0907e2,03f2e2
0003f2e2,s000a_0,0907e2,03f2e2
0003f2e2,s000a_1,0907e2,03f2e2
0003f2e2,s001a,0907e2,03f2e2
0003f2e2,s002a,0907e2,03f2e2
0003f2e2,s003a,0907e2,03f2e2
0003f2e2,s004a,0907e2,03f2e2
0003f2e2,s004a_0,0907e2,03f2e2
0003f2e2,s005a,0907e2,03f2e2
0003f2e2,s006a,0907e2,03f2e2
0003f2e2,s006a_0,0907e2,03f2e2
0003f2e2,s006b,0907e2,03f2e2
0003f2e2,s012a,0907e2,03f2e2
0003f2e2,s021a,0907e2,03f2e2
0003f2e2,s022a,0907e2,03f2e2
0003f2e2,s023a,0907e2,03f2e2
0003f2e2,s023a_0,0907e2,03f2e2
0003f2e2,s031a,0907e2,03f2e2
0003f2e2,s032a,0907e2,03f2e2
0003f2e2,s032b,0907e2,03f2e2
0003f2e2,s032b_0,0907e2,03f2e2
0003f2e2,s033a,0907e2,03f2e2
0003f2e2,s041a,0907e2,03f2e2
0003f2e2,s042a,0907e2,03f2e2
0003f2e2,s043a,0907e2,03f2e2
