texture_name,stage,tri_strcode,texture_strcode
00002016,r_vr_1,938922,002016
00004ad1,node,9a23d5,004ad1
000062b9,d005p03,489fd7,0062b9
00006739,d001p01,489fe0,006739
0000c4dd,mselect,69cd60,00c4dd
0000c4dd_d0bf2476e36b7e6db64e892154845abf,n_title,907874,00c4dd
0000f06e,mselect,b975d2,00f06e
00012016,r_vr_1,938922,012016
00022016,r_vr_1,938922,022016
00024ad1,node,9a23d5,024ad1
0002936b,n_title,2b2373,02936b
0002cca2,node,99b405,02cca2
00032016,r_vr_1,938922,032016
000382c8,d080p01,f28a1b,0382c8
000385a3,a00a,fc06e8,0385a3
0003c3de,f00a,9deed4,03c3de
0003c3de_59747dd0818a4f3d78cd7938115b9093,r_rai_b,927bc4,03c3de
00042016,r_vr_1,938922,042016
000430f2,mselect,b975d2,0430f2
00052016,r_vr_1,938922,052016
00058f79,node,74250b,058f79
00062016,r_vr_1,938922,062016
00065bbe,n_title,283fdb,065bbe
00068f79,node,74250b,068f79
00072016,r_vr_1,938922,072016
00075bbe,n_title,283fdb,075bbe
00078f79,node,74250b,078f79
0007bc34,n_title,bbe697,07bc34
00082016,r_vr_1,938922,082016
00085bbe,n_title,283fdb,085bbe
00085d1e,a00a,fc06e8,085d1e
000897ee,ending,f28a1b,0897ee
0008bc34,n_title,bbe697,08bc34
00096be0,mselect,5ca951,096be0
0009bc34,n_title,bbe697,09bc34
0009eb6f,ending,8ea3f5,09eb6f
0009f56f,a00a,fc06e8,09f56f
0009f66f,n_title,abaaf5,09f66f
000a8fc0,a00a,fc06e8,0a8fc0
000aa7de,node,9a23d5,0aa7de
000b7011,mselect,b975d2,0b7011
000c59bf,mselect,b975d2,0c59bf
000cc716,n_title,abaaf6,0cc716
000ccd6b,n_title,907874,0ccd6b
000e1a61,mselect,b975d2,0e1a61
000ebe38,w41a,a34d21,0ebe38
000f0073,mselect,b975d2,0f0073
000fe672,n_title,ac396b,0fe672
000fe6f2,n_title,ac396b,0fe6f2
000fe772,n_title,ac396b,0fe772
00100d1b,mselect,a692f5,100d1b
001087b3,node,6acad8,1087b3
0010e123,node,99b405,10e123
001187b3,node,6acad8,1187b3
0012e9ed,mselect,69cd60,12e9ed
0013486e,mselect,5ca951,13486e
0013547f,n_title,14de14,13547f
0014547f,n_title,14de14,14547f
001463f1,n_title,6bcbb0,1463f1
0014b79b,mselect,646870,14b79b
0014c79b,mselect,646870,14c79b
0015547f,n_title,14de14,15547f
00158927,a00a,fc06e8,158927
0015d707,n_title,907874,15d707
0015d707_cd82fa959c0f81d19f22c0b0fdf8d230,r_rai_b,907874,15d707
0016852b,n_title,693e58,16852b
0016bbf5,node,9a23d5,16bbf5
0016cb7f,d005p01,451da7,16cb7f
0017bbf5,node,9a23d5,17bbf5
00180189,d001p01,451da7,180189
001a8739,n_title,907874,1a8739
001a8739_9b95ed97d41ce0c9da24766f77e0bf35,n_title,abaaf5,1a8739
001bb358,n_title,8050cb,1bb358
001cd071,n_title,abaaf5,1cd071
001f2016,r_vr_1,938922,1f2016
00202016,r_vr_1,938922,202016
00207af5,a00a,f4812e,207af5
0020c7c1,n_title,907874,20c7c1
0020e3c2,d080p01,f28a1b,20e3c2
0020fb52,f00a,9deed4,20fb52
00212016,r_vr_1,938922,212016
0021e3c2,d080p01,f28a1b,21e3c2
00222016,r_vr_1,938922,222016
0022e3c2,d080p01,f28a1b,22e3c2
00232016,r_vr_1,938922,232016
00232162,d080p01,f28a1b,232162
002387da,node,74250b,2387da
00238df3,n_title,2b2373,238df3
0023ace3,f00a,9deed4,23ace3
00242016,r_vr_1,938922,242016
00248df3,n_title,2b2373,248df3
002515dc,r_vr_1,938922,2515dc
00252016,r_vr_1,938922,252016
00253181,n_title,6bcbb0,253181
00262016,r_vr_1,938922,262016
00265522,n_title,14de14,265522
0026f2fc,n_title,14de14,26f2fc
00272016,r_vr_1,938922,272016
00273921,mselect,5cf069,273921
0027ccec,node,74250b,27ccec
002be6b0,mselect,5ca951,2be6b0
002c9415,mselect,b975d2,2c9415
002ca269,mselect,b975d2,2ca269
002ca269_3ad823d6b15d2e0656bc022f9ae4d1ed,n_title,907874,2ca269
002ceb42,n_title,6bcbb0,2ceb42
002d83df,r_plt0,8491a6,2d83df
002d83df_d6d6e25cebf411fbdc10afdc75e6c763,r_tnk0,8491a6,2d83df
002d83e0,r_plt0,8491a6,2d83e0
002d83e0_fe14aedf8aead9e025a71608da78f12d,r_tnk0,8491a6,2d83e0
002d83e1,r_plt0,8491a6,2d83e1
002d83e2,r_plt0,8491a6,2d83e2
002d83e3,r_plt0,8491a6,2d83e3
002d83e4,r_plt0,8491a6,2d83e4
002d83e5,r_plt0,8491a6,2d83e5
002db10a,n_title,54bef9,2db10a
002e7dde,r_plt0,350ebd,2e7dde
002e7ddf,r_plt0,350ebd,2e7ddf
002e7de0,r_plt0,350ebd,2e7de0
002e7de3,r_plt0,350ebd,2e7de3
002e7de4,r_plt0,350ebd,2e7de4
002e7de5,r_plt0,350ebd,2e7de5
002e7dff,r_plt0,350ebd,2e7dff
002e8486,a00a,f4812e,2e8486
002eb6f9,sselect,96b0f2,2eb6f9
002ee672,n_title,ac396b,2ee672
002ee6f2,n_title,ac396b,2ee6f2
002ee772,n_title,ac396b,2ee772
002f0bd0,node,9a23d5,2f0bd0
002f1bd0,node,9a23d5,2f1bd0
002f2bd0,node,9a23d5,2f2bd0
002f3bd0,node,9a23d5,2f3bd0
002f4bd0,node,9a23d5,2f4bd0
002f5bd0,node,9a23d5,2f5bd0
002f6bd0,node,9a23d5,2f6bd0
002f7bd0,node,9a23d5,2f7bd0
002f8bd0,node,9a23d5,2f8bd0
002fc581,tales,2b2372,2fc581
00304ad1,node,9a23d5,304ad1
00304bad,mselect,fa6609,304bad
00304bdd,ending,f28a1b,304bdd
